Problem Set ID,Problem_text,Related_Concept
lr_ALRM_p13,"A student asked: “Why is it necessary to perform diagnostic checks of the fit when R” is large?”
Comment,","Diagnostic, coefficient of determination"
lr_ALRM_p14,"Production time. In a manufacturing study, the production times for 111 recent production runs
were obtained. The table below lists for each run the production time in hours (Y) and the
production lot size (X).

 

i: 1 23 wo
x 1 8 7 2 9 (45
Yr 1428 880 1249 1637 1145.15.78

a. Prepare a scatter plot of the data. Does a linear relation appear adequate here? Would a
transformation on X or Y be more appropriate here? Why?

b. Use the transformation X’= ./X and obtain the estimated linear regression function for the
transformed data.

c. Plot the estimated regression line and the transformed data. Does the regression line appear
to be a good fit to the transformed data?

d. Obtain the residuals and plot them against the fitted values. Also prepare a normal probability
plot. What do your plots show?

e. Express the estimated regression function in the original units.","Simple Linear Regression, data plot, Generalized Linear Regression, residual plot"
lr_ALRM_p15,"Derive the relations between the 8, and ; in (7.46a) for p

Step-by-step solution

Step 1016 ~

Consider the general linear regression model, with normal error terms, simply in terms of X
variables given below:

Y= Bot BX y+ BX +
Here, fy. B,. Br»

¢, are independent with (0,07), and i=1,2,

 

Bp Xipr *&

 

»B,..are parameters, X,,X,,--+++ ,B,.,ar known constants",Multiple Linear Regression
lr_ALRM_p16,"Consider the simultaneous equations:

 

a. Write these equations in matrix notation.

b. Using matrix methods, find the solutions for y; and ya",Linear Algebra
lr_ALRM_p17,"Sales growth. A marketing researcher studied annual sales of a product that had been
introduced 10 years ago. The data are as follows, where X is the year (coded) and Yis sales in
thousands of units:

1 2 3 4 5 6 7 8 9 Ww

ee
Ys 98 135 162 178 221-232 -283«300«374 395

a. Prepare a scatter plot of the data. Does a linear relation appear adequate here?

b. Use the Box-Cox procedure and standardization (3.36) to find an appropriate power
transformation of ¥. Evaluate SSE for A= 3, .4, .5, 6, .7. What transformation of Y is suggested?

c. Use the transformation y’ = /F and obtain the estimated linear regression function for the
transformed data

d. Plot the estimated regression line and the transformed data. Does the regression line appear
to be a good fit to the transformed data?

€. Obtain the residuals and plot them against the fitted values. Also prepare a normal probability
plot. What do your plots show?

1. Express the estimated regression function in the original units.","Simple Linear Regression, data plot, Box-Cox procedure, standardization, Generalized Linear Regression, "
lr_ALRM_p18,"Ina test of the altematives Ho: 8 <0 versus H: 8; > 0, an analyst concluded Ho. Does this
conclusion imply that there is no linear association between X and ¥ ? Explain",Hypothesis Testing
lr_ALRM_p19,"The effects of five dose levels are to be studied in a completely randomized design, and 20,
experimental units are available. Each dose level is to be assigned to four experimental units
selected at random. Use a table of random digits or a random number generator to make an
appropriate randomization of assignments.","Multiple Linear Regression, experimental design"
lr_ALRM_p20,"A person asks if there is a difference between the “mean response at X = X;,” and the “mean of m
new observations at X = Xp.” Reply.","prediction, estimation"
lr_ALRM_p21,"‘A member of a student team playing an interactive marketing game received the following
computer output when studying the relation between advertising expenditures (X) and sales (Y)
for one of the team’s products:

Estimated regression equation: Y= 350.7 - 18x
Two-sided P-value for estimated slope: 91

The student stated: “The message | get here is that the more we spend on advertising this
product, the fewer units we sell!” Comment.",Hypothesis Testing
lr_ALRM_p22,"Weight and height. The weights and heights of twenty male students in a freshman class are
recorded in order to see how well weight (Y, in pounds) can be predicted from height (x, in
inches). The data are given below. Assume that first-order regression (1.1) is appropriate

 

1 2 3 E 18 1 20
x 74 65, 72 69 68 67
Yi 185195216 7 145137

a. Fita simple linear regression model using ordinary least squares, and plot the data together
with the fitted regression function. Also, obtain an index plot of Cook's distance (10.33). What do
these plots suggest?

. Obtain the scaled residuals in (11.47) and use the Huber weight function (11.44) to obtain case
Weights for a frst iteration of IRLS robust regression. Which cases receive the smallest Huber
weights? Why?

c. Using the weights calculated in part (b), obtain the weighted least squares estimates of the
regression coefficients. How do these estimates compare to those found in part (a) using
ordinary least squares?

d. Continue the IRLS procedure for two more iterations. Which cases receive the smallest
weights in the final iteration? How do the final IRLS robust regression estimates compare to the
ordinary least squares estimates obtained in part (a)?","Simple Linear Regression, data plot, robust regression, Estimation"
lr_ALRM_p23,"Ifthe true response function is J-shaped when the response variable is binary, would the use of
the logistic response function be appropriate? Explain.",dummy variable
lr_ALRM_p24,Explain in what sense the regression sum of squares SSR(X;) is an extra sum of squares.,sum of squares
lr_ALRM_p25,"Distinguish between (1) residual and semistudentized residual, (2) E{e} = 0 and é = 0, (3) error
term and residual","diagnostic, residual"
lr_ALRM_p26,"Consider the following functions of the random variables Y;, Y>, and Y3

Wanthths
W=""-%r
Wy=""-h-%

a. State the above in matrix notation.

. Find the expectation of the random vector W.

c. Find the variance-covariance matrix of W.","Linear Algebra, covariance "
lr_ALRM_p27,"Commercial properties. A commercial real estate company evaluates vacancy rates, square
footage, rental rates, and operating expenses for commercial properties in a large metropolitan
area in order to provide clients with quantitative information upon which to make rental decisions.
The data below are taken from 81 suburban commercial properties that are the newest, best
located, most attractive, and expensive for five specific geographic areas. Shown here are the
age (X;), operating expenses and taxes (Xp), vacancy rates (X3), total square footage (X4), and

rental rates (Y).

   

   
  

 

 

  

a. Prepare a stem-and-leaf plot for each predictor variable. What information do these plots
provide?

. Obtain the scatter plot matrix and the correlation matrix. Interpret these and state your
principal findings.

c. Fit regression model (6.5) for four predictor variables to the data. State the estimated
regression function

d. Obtain the residuals and prepare a box plot of the residuals. Does the distribution appear to be
fairly symmetrical?

e. Plot the residuals against Y, each predictor variable, and each two-factor interaction term on
separate graphs. Also prepare a normal probability plot. Analyze your plots and summarize your
findings.

1. Can you conduct a formal test for lack of fit here?

Q. Divide the 81 cases into two groups, placing the 40 cases with the smallest fitted values ¥; into

group 1 and the remaining cases into group 2. Conduct the Brown-Forsythe test for constancy of
the error variance, using a = .05. State the decision rule and conclusion","Multiple Linear Regression, data plot, Hypothesis Testing, "
lr_ALRM_p28,"Find the inverse of the following matrix:

13
A=|4 05
9 6

Check that the resulting matrix is indeed the inverse",Linear Algebra
lr_ALRM_p29,"A person states that bp and b, in the fitted regression function (1.13) can be estimated by the
method of least squares. Comment.",Estimation
lr_ALRM_p30,"Drug concentration. A pharmacologist employed linear regression model (2.1) to study the
relation between the concentration of a drug in plasma (Y) and the log-dose of the drug (X). The
residuals and log-dose levels follow.

 

1 23 Ss 6 7 8 8
Xo 0 o 1 4 0 4
e oS 2-34 7 420-6 26 -40

 

a. Plot the residuals e, against X;. What conclusions do you draw from the plot?

b. Assume that (3.10) is applicable and conduct the Breusch-Pagan test to determine whether or
not the error variance varies with log-dose of the drug (X). Use a= .05. State the alternatives,
decision rule, and conclusion. Does your conclusion support your preliminary findings in part (a)?","Simple Linear Regression, residual plot, Hypothesis Testing"
lr_ALRM_p31,"For each of the following response functions, indicate whether itis a linear response function, an
intrinsically linear response function, or a nonlinear response function. In the case of an
intrinsically linear response function, state how it can be linearized by a suitable transformation:

a. 7(K, ¥) = explo + V4)

Db. FRKy) = wt nO)"" — yaX2

ce SKY) nthe",Generalized Linear Regression
lr_ALRM_p32,"For each of the following regression models, indicate whether it is a general linear regression
mode.. If itis not, state whether it can be expressed in the form of (6.7) by a suitable

transformation:
a. Bo + BiXes + Br logo Xiz + AsXh + 61
b. 5) €XP(Fo + BiXii + B2X})

 

¥) = logyg(BiXi) + P2Xia +6:
Yi = Bo exp(BiXin) +6
Yj = [1 +exp(fo+ AiXa +e)

eee

Reference Form (6.7)

XK

 

Bot PiXin + BoXi2 +--+ + By-X,p1 +8 7",Generalized Linear Regression
lr_ALRM_p33,"‘Show that the ratio SSR/SSTO is the same whether Y; is regressed on 9 or 9 is regressed on
Y4. (Hint. Use (1.10a) and (2.51)]",sum of squares
lr_ALRM_p34,"Airfreight breakage. A substance used in biological and medical research is shipped by
airfreight to users in cartons of 1,000 ampules. The data below, involving 10 shipments, were
collected on the number of times the carton was transferred from one aircraft to another over the
shipment route (x) and the number of ampules found to be broken upon arrival (Y). Assume that
first-order regression model (1.1) is appropriate.

1203 4 5 6 7

1 0 2 0 3 1 0 4 2
6 9 7 2 2 3B 8 1 9

 

 

. Obtain the estimated regression function. Plot the estimated regression function and the data.
Does a linear regression function appear to give a good fit here?

. Obtain a point estimate of the expected number of broken ampules when X= 1 transfer is,
made.

c. Estimate the increase in the expected number of ampules broken when there are 2 transfers
as compared to 1 transfer.

d. Verify that your fitted regression line goes through the point (, P)","Simple Linear Regression, estimation, parameter"
lr_ALRM_p35,"In a regression study, three types of banks were involved, namely, commercial, mutual savings,
and savings and loan. Consider the following system of indicator variables for type of bank:

TypeofBank ke

Commercial 10
Mutual savings = 1
Savingsand loan 1-1

a. Develop a first-order linear regression model for relating last year’s profit or loss (Y) to size of
bank (X;) and type of bank (Xp, X3)

. State the response functions for the three types of banks.

c. Interpret each of the following quantities; (1) Bo, (2) 83, (3) — 82 - 83.","Multiple Linear Regression, estimation"
lr_ALRM_p36,"A student who used a regression model that included indicator variables was upset when
receiving only the following output on the multiple regression printout: XTRANSPOSE X
SINGULAR. What is a likely source of the difficulty?",regression
lr_ALRM_p37,"Property assessments. The data that follow show assessed value for property tax purposes
(%. in thousand dollars) and sales price (Y9, in thousand dollars) for a sample of 15 parcels of
land for industrial development sold recently in ‘arm’s length’ transactions in a tax district.
Assume that bivariate normal model (2.74) is appropriate here.

 

 

Po Bn 8 Bus
Yr 139 160 103 9 129°~«158
Ye: 286 347 21.0 35.1 300 36.2

a. Plot the data in a scatter diagram. Does the bivariate normal model appear to be appropriate
here? Discuss.

b. Calculate r;2. What parameter is estimated by r;2? What is the interpretation of this,
parameter?

c. Test whether or not Y; and Y> are statistically independent in the population, using test
statistic (2.87) and level of significance .01. State the alternatives, decision rule, and conclusion

d. To test 01 = 6 versus 042 # .6, would it be appropriate to use test statistic (2.87)?","Simple Linear Regression, data plot, estiamtion, Hypothesis Testing"
lr_ALRM_p38,"Refer to regression model (1.1). Assume that X= 0 is within the scope of the model. What is the
implication for the regression function if Bg = 0 so that the model is ¥; = 6X) + ¢? How would the

regression function plot on a graph?","parameter, standardization"
lr_ALRM_p39,"Flavor deterioration. The results shown below were obtained in a small-scale experiment to
study the relation between °F of storage temperature (X) and number of weeks before flavor
deterioration of a food product begins to occur (Y).

 

i 1 2 3 4 5
Xr 8 4 ° -4 -8
Y: 78 9.0 10.2 11.0 Wz

Assume that first-order regression model (2.1) is applicable. Using matrix methods, find (1) Y'Y,
(2) XX, (3) XY.","parameter, Linear Algebra"
lr_ALRM_p40,"Two authors wrote as follows: “Our research utilized a multiple regression model. Two of the
predictor variables important in our theory tured out to be highly correlated in our data set. This
made it difficult to assess the individual effects of each of these variables separately. We retained
both variables in our model, however, because the high coefficient of multiple determination
makes this difficulty unimportant.” Comment.",coefficient of determination
lr_ALRM_p41,"For the matrices below, obtain (1) A + C, (2) A- C, (3) BA, (4) AC! (5) C'A

B= c=

6
9
3
1

hooe

1
5
a
8.

State the dimension of each resulting matrix.",Linear Algebra
lr_ALRM_p42,"A speaker stated: “In well-designed experiments involving quantitative explanatory variables, a
procedure for reducing the number of explanatory variables after the data are obtained is not
necessary.” Discuss.","variable selection, diagnostic"
lr_ALRM_p43,"A social scientist stated: “The conditions for the bivariate normal distribution are so rarely met in
my experience that | feel much safer using a regression model.” Comment.",regression
lr_ALRM_p44,"Consider the multiple logistic regression model with XB = y+ #.Xi + faXo + #sXi%s. Derive an
expression for the odds ratio for X;. Does exp(84) have the same meaning here as for a

regression model containing no interaction term?","logistic regression, parameter"
lr_ALRM_p45,"Lowess smoothing becomes difficult when there are many predictors and the sample size is
‘small. This is sometimes referred to as the “curse of dimensionality.” Discuss the nature of this
problem",regression
lr_ALRM_p46,"Microcomputer components. A staff analyst for a manufacturer of microcomputer components
has compiled monthly data for the past 16 months on the value of industry production of
processing units that use these components (X, in million dollars) and the value of the firm's
components used (Y, in thousand dollars). The analyst believes that a simple linear regression
relation is appropriate but anticipates positive autocorrelation. The data follow:

 

 

th 1 2 3 “a 14 15 16
2.052 2.026 2.002... 2.080 2.102 2.150
Ye: 102.9 101.5 100.8 104.8 105.0 107.2

 

a. Fita simple linear regression model by ordinary least squares and obtain the residuals. Also
obtain s{D9} and s{b;}

. Plot the residuals against time and explain whether you find any evidence of positive
autocorrelation

c. Conduct a formal test for positive autocorrelation using a = .05. State the alternatives, decision
rule, and conclusion. Is the residual analysis in part (b) in accord with the test result?","Simple Linear Regression, least squares estiamtion, residaul, residual plot, Hypothesis Testing"
lr_ALRM_p47,"The random variables Y; and Y2 follow the bivariate normal distribution in (2.74). Show that if
012 = 0, Y; and Y> are independent random variables.","independence, correlation"
lr_ALRM_p48,"A speaker stated in a workshop on applied regression analysis: “In business and the social
sciences, some degree of multicollinearity in survey data is practically inevitable.” Does this
statement apply equally to experimental data?",multicollinearity
lr_ALRM_p49,"Can o?{pred} in (2.37) he brought increasingly close to 0 as n becomes large? Is this also the
case for 07{¥} in (2.29b)? What is the implication of this difference?",prediction
lr_ALRM_p50,"Consumer finance. The data below show, for a consumer finance company operating in six
cities, the number of competing loan companies operating in the city (x) and the number per
thousand of the company’s loans made in that city that are currently delinquent (Y)

i: 12 3 4 5 6
Xi: 44 2 3 3 4
i ww  § 0 18 13 22

Assume that first-order regression model (2.1) is applicable. Using matrix methods, find (1) Y'Y,
(2) XX, (3) XY.","Simple Linear Regression, Linear Algebra"
lr_ALRM_p51,"For each of the following questions, explain whether a confidence interval for a mean response
or a prediction interval for a new observation is appropriate.

a. What will be the humidity level in this greenhouse tomorrow when we set the temperature level
at 31°C?

b. How much do families whose disposable income is $23,500 spend, on the average, for meals
away from home?

c. How many kilowatt-hours of electricity will be consumed next month by commercial and
industrial users in the Twin Cities service area, given that the index of business activity for the
area remains at its present level?",confidence interval
lr_ALRM_p52,"Per capita earnings. A sociologist employed linear regression model (2.1) to relate per capita
earnings (Y) to average number of years of schooling (X) for 12 cities. The fitted values, and
the semistudentized residuals ¢? follow.

ho 2 3. 10 u 2
LN ee
f 99 93 102 1360 2B

gq: 12 Bl 76. 378A 32

a. Plot the semistudentized residuals against the fitted values. What does the plot suggest?

b. How many semistudentized residuals are outside #1 standard deviation? Approximately how
many would you expect to see if the normal error model is appropriate?","residaul, semistudentized residual, residual plot, "
lr_ALRM_p53,"Advertising ageney. The managing partner of an advertising agency is interested in the
possibility of making accurate predictions of monthly billings. Monthly data on amount of billings
(¥. in thousands of constant dollars) and on number of hours of staff time (X, in thousand hours)
for the 20 most recent months follow. A simple linear regression model is believed to be
appropriate, but positively autocorrelated error terms may be present.

 

t: 1 2 3 ons 18 19 20
Xe 2.521 2171 2.234 . 3.117 3.623 3.618
Ye: 220.4 203.9 207.2 se 252.4 278.6 278.5

 

a. Fita simple linear regression model by ordinary least squares and obtain the residuals. Also
obtain s{D9} and s{b;}

. Plot the residuals against time and explain whether you find any evidence of positive
autocorrelation

c. Conduct a formal test for positive autocorrelation using a = .01. State the alternatives, decision
rule, and conclusion. Is the residual analysis in part (b) in accord with the test result?","Simple Linear Regression, residual , Estimation, Hypothesis Testing, "
lr_ALRM_p54,"For regression model (6.1), show that the coefficient of simple determination between Y, and Yj

equals the coefficient of multiple determination R2.",coefficient of determination
lr_ALRM_p55,"‘Show how the following expressions are written in terms of matrices: (1) ¥;— ¥j= e;, (2) = Xej=

0. Assume /= 1...., 4.","parameter, residual"
lr_ALRM_p56,"In time series analysis, the X variable representing time usually is defined to take on values 1, 2
etc., for the successive time periods. Does this represent an allocated code when the time
periods are actually 1989, 1990, etc.?",prediction
lr_ALRM_p57,"When the predictor variable is so coded that ¢ = 0 and the normal error regression model (2.1)
applies, are bp and 6, independent? Are the joint confidence intervals for By and ; then

independent?",independence
lr_ALRM_p58,"Computer programmers employed by a sofware developer were asked to participate in a month-
ong training seminar. During the seminar, each employee was asked to record the number of
hours spent in class preparation each week. After completing the seminar, the productivity level
of each participant was measured. A positive linear statistical relationship between participants’
productivity levels and time spent in class preparation was found. The seminar leader concluded
that increases in employee productivity are caused by increased class preparation time.

@. Were the data used by the seminar leader observational or experimental data?

b. Comment on the validity of the conclusion reached by the seminar leader.

c. Identify two or three alternative variables that might cause both the employee productivity
scores and the employee class participation times to increase (decrease) simultaneously.

d. How might the study be changed so that a valid conclusion about causal relationship between
class preparation time and employee productivity can be reached?",variable selection
lr_ALRM_p59,"For the bivariate normal distribution with parameters 3,02 = 4, and p42

80.

 

a. State the characteristics of the marginal distribution of ¥}

. State the characteristics of the conditional distribution of Y> when Y; = 55.

c. State the characteristics of the conditional distribution of Y; when Y> = 95.",probability distribution
lr_ALRM_p60,"(Obtain an expression for the variance-covariance matrix of the fitted values Yj, 7= 1....,n, in
terms of the hat matrix.",covariance
lr_ALRM_p61,"Bottle return. A carefully controlled experiment was conducted to study the effect of the size of
the deposit level on the likelihood that a returnable one-lter soft-drink bottle will be returned. A

bottle return was scored 1, and no return was scored 0. The data to follow show the number of
bottles that were retuned (Y) out of 500 sold (n)) at each of six deposit levels (1), in cents)

kod 2 3 4 5 6
Deposit level X/ 2 5 10 2 2 30
Numbersold'nj: $00. $00,500 S00. 500500

Numberretumed Yj: 72,—«=«103-—='=—«*170.—='s—«296 G68

An analyst believes that logistic regression model (14.20) is appropriate for studying the relation
between size of deposit and the probability a bottle will be returned

a. Plot the estimated proportions p) = ¥/n) against Xj. Does the plot support the analyst's belief
that the logistic response function is appropriate?

. Find the maximum likelihood estimates of By and 8}. State the fitted response function.

c. Obtain a scatter plot of the data with the estimated proportions from part (a), and superimpose
the fitted logistic response function from part (b). Does the fitted logistic response function
appear to fit well?

d. Obtain exp(b4) and interpret this number.

©. What is the estimated probability that a bottle will be returned when the deposit is 15 cents?

1. Estimate the amount of deposit for which 75 percent of the bottles are expected to be returned","logistic regression, data plot, Estimation"
lr_ALRM_p62,"Ina small-scale regression study, five observations on Y were obtained corresponding to X= 1
4,10, 11, and 14. Assume that 0 = 6, y= 5, and By = 3.

a. What are the expected values of MSR and MSE here?

. For determining whether or not a regression relation exists, would it have been better or worse
to have made the five observations at X = 6, 7, 8, 9, and 10? Why? Would the same answer
apply if the principal purpose were to estimate the mean response for X = 8? Discuss.","sum of squares, prediction"
lr_ALRM_p63,"The true quadratic regression function is E{Y} = 15 + 20X + 3x”. The fitted linear regression
function is Y= 13 + 40X, for which E{bo} = 10 and E{b;} = 45. What are the bias and sampling
error components of the mean squared error for X) = 10 and for x; = 20?","Generalized Linear Regression, estimation"
lr_ALRM_p64,"Describe several informal methods that can be helpful in identifying multicollinearity among the X
variables in a multiple regression model","Multicollinearity, Diagostic, multiple regression model"
lr_ALRM_p65,"A management trainee in a production department wished to study the relation between weight of
rough casting and machining time to produce the finished block. The trainee selected castings so
that the weights would be spaced equally apart in the sample and then observed the
corresponding machining times. Would you recommend that a regression or a correlation model
be used? Explain.",Remedy
lr_ALRM_p66,"Find the matrix A of the quadratic form:

BY? +10¥,%2 + 1793",Linear Algebra
lr_ALRM_p67,"A student working on a summer internship in the economic research department of a large
corporation studied the relation between sales of a product (¥. in million dollars) and population
(. in million persons) in the firm's 50 marketing districts. The normal error regression model (2.1)
was employed. The student first wished to test whether or not a linear association between Y and
X existed. The student accessed a simple linear regression program and obtained the following
information on the regression coefficients:

95 Percent
Parameter Estimated Value Confidence Limits
intercept 743119) =178518 ——*16.0476
Slope (755048 452886 1.08721

a. The student concluded from these results that there is a linear association between Y and X.
Is the conclusion warranted? What is the implied level of significance?

b. Someone questioned the negative lower confidence limit for the intercept, pointing out that
dollar sales cannot be negative even if the population in a district is zero. Discuss.","Simple Linear Regression, Hypothesis Testing"
lr_ALRM_p68,"A junior investment analyst used a polynomial regression model of relatively high order in a
research seminar on municipal bonds and obtained an R* of 991 in the regression of net interest
yield of bond (Y) on industrial diversity index of municipality (X) for seven bond issues. A

classmate, unimpressed, said: “You overfitted. Your curve follows the random effects in the data.”

a. Comment on the criticism.

b. Might R? defined in (6.42) be more appropriate than R* as a descriptive measure here?",Remedy
lr_ALRM_p69,"Using the normal error regression model (2.1) in an engineering safety experiment, a researcher
found for the first 10 cases that A? was zero. Is it possible that for the complete set of 30 cases
FR? will not be zero? Could R? not be zero for the first 10 cases, yet equal zero for all 30 cases?
Explain",Remedy
lr_ALRM_p70,"Chemical shipment. The data to follow, taken on 20 incoming shipments of chemicals in drums
arriving at a warehouse, show number of drums in shipment (Xj), total weight of shipment (Xp, in

hundred pounds), and number of minutes required to handle shipment (Y)

 

is 1 2 3 a 18 19 20
Xn 7 18 Ss a a 6 ""
Xai 5.1 16.72 32000... 15.21 3.64 9.57
Yi 58 182 a 155 39 90

Given below are the estimated ridge standardized regression coefficients, the variance inflation
factors, and R? for selected biasing constants c.

c_.000 005 ot?
th: 451453455460 460459 ASB AA
bf: 561 55655252617 «508504473

(VIP) = (VIF): 7.03 6.20 5.51265 2.0361 1.467
R?: 9869 9869 9869 9862 9856 9852 9844 9780

 

a. Fit regression model (6.1) to the data and find the fitted values.

b. Make a ridge trace plot for the given c values. Do the ridge regression coefficients exhibit
substantial changes near ¢ = 0?

c. Why are the (VIF); values the same as the (VIF) values here?

d. Suggest a reasonable value for the biasing constant c based on the ridge trace, the VIF
values, and R2

e. Transform the estimated standardized regression coefficients selected in part (c) back to the
original variables and obtain the fitted values for the 20 cases. How similar are these fitted values
to those obtained with the ordinary least squares fit in part (a)?","Multiple Linear Regression, Estimation, Remedy"
lr_ALRM_p71,"Set up the X matrix and B vector for each of the following regression models (assume i= 1..... 5)

a ¥ = BiXn + Xin + BX +6

D. JV = Bo + BiXis + Br logig Xi2 +6",Generalized Linear Regression
lr_ALRM_p72,"McGill Company sales. The data below show seasonally adjusted quarterly sales for the McGill
Company (, in million dollars) and for the entire industry (X, in million dollars) for the most
recent 20 quarters.

 

1 2 3 ome 18 19 20

Xe 127.3 130.0 132.7
. 165.6 168.7 17;
Ye 20.96 21.40 21.96 27.78 28.24 a ms

a. Would you expect the autocorrelation parameter p to be positive, negative, or zero here?

. Fita simple linear regression model by ordinary least squares and obtain the residuals. Also
obtain s{D9} and s{b;}

. Plot the residuals against time and explain whether you find any evidence of positive
autocorrelation

d. Conduct a formal lest for positive autocorrelation using a = .01. Slate the alternatives, decision
rule, and conclusion. Is the residual analysis in part (c) in accord with the test result?","Simple Linear Regression, Estimation, Hypothesis Testing"
lr_ALRM_p73,"Performance ability. A psychologist conducted a study to examine the nature of the relation, if
any, between an employee's emotional stability (X) and the employee's ability to perform ina
task group (¥). Emotional stability was measured by a written test for which the higher the score,
the greater is the emotional stability. Ability to perform in a task group (Y= 1 if able, Y= Oif
unable) was evaluated by the supervisor. The results for 27 employees were:

 

 

i 1 2 3 2 eo
x: 478432 AS 362 506-600
¥: ° 0 ° 1 ° 1

Logistic regression model (14.20) is assumed to be appropriate.

a. Find the maximum likelihood estimates of By and 8}. State the fitted response function.

b. Obtain a scatter plot of the data with both the fitted logistic response function from part (a) and
a lowess smooth superimposed. Does the fitted logistic response function appear to fit well?

. Obtain exp(b;) and interpret this number.

d. What is the estimated probability that employees with an emotional stability test score of 550
will be able to perform in a task group?

e. Estimate the emotional stability test score for which 70 percent of the employees with this test
score are expected to be able to perform in a task group.","Logistic Regression, Estimation"
lr_ALRM_p74,"Refer to first-order autoregressive error model (12.1). Suppose Y; is company’s percent share of
the market, X; is company's selling price as a percent of average competitive selling price, By =

     

 

 

100, By =-35, 9 = 6, 0? = 1, and ep = 2.403. Let X; and Uy be as follows for t= 1,..., 10:
th 1 2 3 4 5 6 7 8 9 wo
Xe 100 ws 120 90 85 7s 70 9S 10s 10

uy: 764 $09 — 242-1808 -48S 501-539 434 -299 030

 

a. Plot the true regression line. Generate the observations Y; (

  

10), and plot these on the
same graph. Fit a least squares regression line to the generated observations Y; and plot it also
on the same graph. How does your fitted regression line relate to the true line?

 

b. Repeat the steps in part (a) but this time let p = 0. In which of the two cases does the fitted
regression line come closer to the true line? Is this the expected outcome?

 

c. Generate the observations Y; for o = -7. For each of the cases p = .6, 9 = 0, ando=

 

obtain the successive error term differences ¢— 4 (t= 1...., 10).

d. For which of the three cases in part (c) is Sie,
generalization does this suggest?

? Smallest? For which is it largest? What","Simple Linear Regression, Estimation"
lr_ALRM_p75,"Plastic hardness. Refer to Problems 1.3 and 1.14. Sixteen batches of the plastic were made,
and from each batch one test item was molded. Each test item was randomly assigned to one of
the four predetermined time levels, and the hardness was measured after the assigned elapsed
time. The results are shown below: X is the elapsed time in hours, and Yis hardness in Brinell
units. Assume that first-order regression model (1.1) is appropriate.

   

1 2 5 “ws 6
6 16 16 40 4040
199 205196 28 253246,

. Obtain the estimated regression function. Plot the estimated regression function and the data.
Does a linear regression function appear to give a good fit here?

. Obtain a point estimate of the mean hardness when X = 40 hours.

c. Obtain a point estimate of the change in mean hardness when X increases by 1 hour.","Simple Linear Regression, Estimation, Prediction"
lr_ALRM_p76,"(Calculus needed.) Consider the multiple regression mode
%=BiXn+PXat si =1 a
where the ¢ are uncorrelated, with Efe} = 0 and 0fe} = 02.

a. State the least squares criterion and derive the least squares estimators of 8; and Bp

b. Assuming that the ¢; are independent normal random variables, state the likelihood function
and obtain the maximum likelihood estimators of 8; and Bp. Are these the same as the least
squares estimators?","Multiple Linear Regression, Estimation"
lr_ALRM_p77,"Consider the normal error regression model (1.24). Suppose that the parameter values are By =
200, 8; = 5.0, and o= 4.

a. Plot this normal error regression model in the fashion of Figure 1.6. Show the distributions of ¥
for X= 10, 20, and 40.

. Explain the meaning of the parameters By and 8. Assume that the scope of the model
includes X= 0.","Probability Distribution, Prediction, Estimation"
lr_ALRM_p78,"Car purchase. A marketing research firm was engaged by an automobile manufacturer to
conduct a pilot study to examine the feasibility of using logistic regression for ascertaining the
likelinood that a family will purchase a new car during the next year. A random sample of 33
suburban families was selected. Data on annual family income (X;, in thousand dollars) and the
current age of the oldest family automobile (Xp, in years) were obtained. A follow-up interview
conducted 12 months later was used to determine whether the family actually purchased a new
car (Y= 1) or did not purchase a new car (Y= 0) during the year.

 

‘Multiple logistic regression model (14.41) with two predictor variables in first-order terms is
assumed to be appropriate

a. Find the maximum likelihood estimates of Bp, 83, and Bo. State the fitted response function.

b. Obtain exp(b4) and exp(b2) and interpret these numbers.

. What is the estimated probability that a family with annual income of $50 thousand and an
oldest car of 3 years will purchase a new car next year?","Multiple Linear Regression, Estimation, Prediction"
lr_ALRM_p79,"Enzyme kinetics. In an enzyme kinetics study the velocity of a reaction (Y) is expected to be
related to the concentration (X) as follows:

WX
n+X

 

 

+e

Eighteen concentrations have been studied and the results follow:

 

 

i 1 2 3 16 7 18
Xi 1 52 30 35 40
Nis 2100 25049 - 197 BG

a. To obtain starting values for yo, and 3, observe that when the error term is ignored we have
¥/ = Bo + BiX), where 1%, Bo = 1/7 Bi = ¥a/ yo» and X} = 1/X). Therefore fit a linear
regression function to the transformed data to obtain initial estimates {® = 1/h, and

40? = bi/bo

      

 

. Using the starting values obtained in part (a), find the least squares estimates of the
parameters yo, and v3.","Generalized Linear Regression, Estimation"
lr_ALRM_p80,"Prepare a prototype residual plot for each of the following cases: (1) error variance decreases
with x: (2) true regression function is Uy shaped, but a linear regression function is fitted",Diagnostics
lr_ALRM_p81,"Derive an extension of the Bonferroni inequality (4.2a) for the case of three statements, each
with statement confidence coefficient 1 — a.",Inference
lr_ALRM_p82,"Let A be defined as follows

018
A=|031
055

a. Are the column vectors of A linearly dependent?
b. Restate definition (5.20) in terms of row vectors. Are the row vectors of A linearly dependent?
c. What is the rank of A?

d. Calculate the determinant of A.",Linear Algebra
lr_ALRM_p83,"Show that:

a. SSR, Xp, Xz, Xq) = SSRI) + SSRN, XGIXq) + SSRKAIXy, Xp, X3).

b. SSR (X4, Xp, X, Xq) = SSR(X, X3) + SSRUG Xp, Xg) + SSRK|Ny, Xp, X3).",Estimation
